window,dns_flow_count,dns_pkt_entropy,dns_byte_entropy,dns_iat_entropy,label
0,17,1.6589797521242053,1.7322216637616483,0.3227569588973983,0
1,4,1.5,1.5,1.5,0
2,36,0.7254805569978681,0.7254805569978681,1.4586422306452278,0
3,18,1.6158045319402519,1.6158045319402516,1.5032583347756456,0
4,35,0.7723947502839263,0.9682448352060218,0.37313999012128185,0
5,36,2.2153547798700823,2.2600670152711047,1.1409827561124506,0
6,22,1.2433003685389579,1.4320062125405801,0.5304060778306042,0
7,48,1.76091554086636,1.9789237376728213,0.29154895949985216,0
8,30,1.913106011337682,1.6922718656836104,2.139572261986723,0
9,11,1.0957952550009338,1.0957952550009338,2.413088436425758,0
10,45,1.7593729769870299,1.706631471348417,1.82650890466592,0
11,13,2.1039099102823644,2.315824333525708,1.352030101757953,0
12,37,1.260380046117062,1.260380046117062,2.5346456112849483,0
13,29,1.3425211019526002,1.3685517054754783,1.5055919968905507,0
14,24,1.3741854163060887,1.176065103715944,2.333333333333333,0
15,21,2.009503136240296,2.5216406363433186,0.8180959929710641,0
16,6,0.6500224216483541,0.6500224216483541,1.2516291673878228,0
17,19,1.8679653582397109,2.0784916740291846,2.1148051443393325,0
18,10,1.5709505944546687,1.570950594454669,1.3567796494470397,0
19,17,1.5451521971989497,1.7360411676599221,1.7779849042597489,0
20,1,0.0,0.0,0.0,0
21,21,2.048542139499064,2.582793613254951,1.3396642639295129,0
22,16,2.0,1.875,1.9056390622295665,0
23,22,1.243300368538958,1.3342094594480485,1.6541881272613421,0
24,49,1.2449690267290194,1.306254690954567,2.384716536779155,0
25,10,1.570950594454669,1.570950594454669,0.46899559358928117,0
26,20,1.9814963295286752,2.1192407046368484,1.1219280948873624,0
27,22,1.5503407095463881,1.4594316186372973,2.447401504705915,0
28,27,2.1784607314472755,1.992551471867503,1.4708767428894527,0
29,10,2.1219280948873624,2.7219280948873625,0.46899559358928117,0
30,5,0.9709505944546688,1.370950594454669,1.370950594454669,0
31,15,1.2366407419411674,1.3699740752745007,0.3533593350214213,0
32,24,1.2908520829727552,1.2908520829727552,0.24988229283318544,0
33,11,0.43949698692151334,0.43949698692151334,1.8676338909712122,0
34,50,1.621165268424512,1.598260327869979,0.14144054254182067,0
35,30,1.8846142455952377,2.0464393446710156,2.204935594743131,0
36,49,1.453700995754512,1.4744611185216017,0.3322866302216151,0
37,25,1.3713146886497212,1.4513146886497208,1.8467341583372254,0
38,27,1.9613348367849288,1.6780986942499816,1.784035672216632,0
39,44,1.3463921503983984,1.2837810708037742,0.15649106290570153,0
40,20,1.1540157730727998,1.1917601481809734,0.5689955935892812,0
41,25,1.5941859576379551,1.6243814577244942,0.48217919020227273,0
42,20,1.1540157730728,0.9917601481809734,1.8833830982290136,0
43,44,1.1484250984622386,1.278186597201936,0.15649106290570153,0
44,26,1.068187337458506,1.4423388429323183,0.8501514254479946,0
45,22,1.243300368538958,1.300937604943853,0.26676498780302604,0
